context,declination,user,V2,V3,V4,V5,V6,V7,V8,V9,V10,confirmation_code,INTRO_1,ENG_1,CONSENT,IRB_FORM,AUDIO_1,TEST,AUDIO_2,INT1_2,INT2_2,INT3_3,INT_OTHER,AUDIO_3,EPI_S_1,EPI_S_2_2,AFF_S_2,SOC_1_2,SOC_2_2,INTP_S_2,SOC_OTHER,INTRO_2,AGE,GEN,HOME,LANG,LocationLatitude,LocationLongitude,LocationAccuracy
int_2,rise_100,ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,confirmation_code,Welcome! /  ξ /  /  You are invited to participate in a /  survey for a research conducted by the Departm...,"AMERICAN-<span style=""font-size:16px;"">I am a native speaker of American English.</span>",CONSENT,Consent mechanical turk,Please click on the following / audio file and listen carefully. /   /  ξξ,What are the speakers talking about? (briefly / describe in 2-3 words),Now answer a few questions about /  how you interpreted the audio file.ξ /  /  ξ /  /  In order to arrive a...,How likely is it that paraphrase A /  captures what the male speaker meant to say in /  the audio fil...-Likelihood of paraphrase A,How / likely is it that paraphrase B captures what the male / speaker meant to say in the audio file?...-Likelihood of paraphrase B,How likely is it that paraphrase C captures what the / male speaker meant to say in theξaudio / file?...-Likelihood of paraphrase C,Can you think of any other possible / interpretations or paraphrases of the male speaker's response...,Now please answer a few questions /  about the impressions you got from listening to the audio /  fil...,Which of these statements is the most true?,"If you checked 1 or 2 in the previous question, / please answer the question below. If not, please...-Certainty of speaker about listener wanting to (or not wanting to) do the laundry",How annoyed does the male speaker / sound?-Degree of annoyance of the speaker,How authoritative does the male / speaker sound?-Degree of authoritativeness of the speaker,How polite does the male speaker / sound?-Degree of politeness of the speaker,What kinds of feeling do you think the male speaker / has about the female speaker? Positive feelin...-Speaker's feeling towards the listener,"Did you get any other kinds of / impressions about the male speaker (e.g. / friendly/unfriendly, opti...",You are done with the / actual experiment. /   /  /  The following is a brief questionnaire about /  you....,Your age:,Your gender:,Your hometown:,Language(s) that /  you speak:,LocationLatitude,LocationLongitude,LocationAccuracy
int_2,rise_100,R_1ocZ1Gqzvlb4sdu,Default Response Set,Anonymous,,,67.249.229.4,0,6/5/15 15:25,6/5/15 15:27,1,75645808,1,1,1,1,1,"one person asking if they can go outside and hang with their friends, other person asking if they can do laundry",1,11,30,90,someone could take it literally and take it to mean him asking literally only if they WANT to,1,4,30,51,25,40,50,mildly annoyed,1,2,2,Cortland,English,42.61779785,-76.19259644,-1
int_2,rise_100,R_30jH10Wd66EYMrJ,Default Response Set,Anonymous,,,73.34.76.21,0,6/5/15 15:27,6/5/15 15:30,1,82181933,1,1,1,1,1,Outside or laundry,1,35,50,70,Doing the laundry is more important than hanging out with friends.,1,4,,30,60,75,55,I was under the impression that the male speaker was the girl's father.,1,3,2,"St. Louis, MO, USA",English,39.73199463,-104.983902,-1
int_2,rise_100,R_s7qf4M4yZmcmySl,Default Response Set,Anonymous,,,76.189.9.123,0,6/5/15 15:27,6/5/15 15:32,1,71390319,1,1,1,1,1,play versus work,1,19,84,71,,1,3,51,81,36,92,20,sarcastic,1,3,2,Oak Harbor,English,41.52270508,-82.85890198,-1
int_2,rise_100,R_1kZIh55NilcaFI1,Default Response Set,Anonymous,,,107.144.73.127,0,6/5/15 15:45,6/5/15 15:50,1,82786702,1,1,1,1,1,"going outside, laundry",1,100,70,80,Do you want to do the laundry together?,1,4,,50,10,100,30,"friendly, optimistic and not snobbish",1,4,1,"Punta Gorda, Florida",English,27.95779419,-82.46219635,-1
int_2,rise_100,R_R9KnfJjRzqbIYRH,Default Response Set,Anonymous,,,69.131.229.51,0,6/5/15 15:47,6/5/15 15:50,1,32221772,1,1,1,1,1,"going outside, laundry",1,50,100,90,none,1,4,,0,10,100,100,"polite, not pushy",1,6,1,Cinebar,English,46.60220337,-122.6780014,-1
int_2,rise_100,R_2EirzqYUxt61bVY,Default Response Set,Anonymous,,,76.5.76.88,0,6/5/15 16:32,6/5/15 16:35,1,28671031,1,1,1,1,1,going outside to hang with my friends or doing laundry,1,80,98,10,,1,4,,10,6,90,89,nice,1,5,1,Pittsburgh,English,37.31309509,-78.28369904,-1
int_2,rise_100,R_RnsxFTBmxhKAngB,Default Response Set,Anonymous,,,68.180.100.22,0,6/5/15 17:32,6/5/15 17:33,1,88752118,1,1,1,1,1,certain activities,1,10,79,31,,1,4,0,0,0,93,0,"friendly, kind",1,2,1,"Gladstone, NJ",English,39.95970154,-75.19680023,-1
int_2,rise_100,R_1Fn6IQb9qVpHYFf,Default Response Set,Anonymous,,,67.249.197.60,0,6/5/15 17:56,6/5/15 18:01,1,50987466,1,1,1,1,1,friends and laundry,1,20,90,10,The laundry needs to be done.,1,4,,20,10,90,90,He seemed perplexed.,1,6,1,"Syracuse, NY",English,43.06719971,-75.63780212,-1
int_2,rise_100,R_ULUx8XEQlQojGVz,Default Response Set,Anonymous,,,108.240.39.75,0,6/5/15 18:15,6/5/15 18:18,1,83778486,1,1,1,1,1,What to do,1,20,50,71,You should start the laundry before hanging out,1,3,61,20,31,81,60,He seems amicable in his speech tone. He doesn't really sound like he wants to fight about it.,1,4,1,"Nashville, TN",English,34.41789246,-93.04930115,-1
int_2,rise_100,R_2Bi08Pt0brrklIS,Default Response Set,Anonymous,,,73.221.92.140,0,6/5/15 18:52,6/5/15 19:32,1,95488701,1,1,1,1,1,outside friends laundry,1,42,55,74,Should I do the laundry if you're going to hang out with friends?,1,3,30,20,25,70,72,He was trying to change her mind. He was friendly by passive aggressive.,1,2,2,Chehalis,English,47.10769653,-123.0603943,-1
int_2,rise_100,R_u7Blpnhwv5mUgKt,Default Response Set,Anonymous,,,75.134.4.93,0,6/5/15 19:30,6/5/15 19:32,1,78262597,1,1,1,1,1,"I want to hang out with my friends, do you want to do the laundry?",1,70,92,30,no,1,4,,31,28,40,48,no he seems just normal,1,3,1,"yonkers,ny",english,41.46730042,-73.38829803,-1
int_2,rise_100,R_2rlt3Nw4DJAEjkb,Default Response Set,Anonymous,,,54.174.77.195,0,6/5/15 20:13,6/5/15 20:21,1,41105041,1,1,1,1,1,unrelated and confusing conversation,1,31,12,81,He might be an idiot and thought she really wanted to do laundry over seeing friends,1,3,81,10,8,77,40,Not assertive and cowardly,1,2,2,Greensboro,English,39.04370117,-77.48750305,-1
int_2,rise_100,R_31KFHIRgxiJQLk7,Default Response Set,Anonymous,,,98.114.232.123,0,6/6/15 3:25,6/6/15 3:31,1,84319792,1,1,1,1,1,"laundry, friends",1,41,99,20,,1,4,,45,35,55,71,somewhat impatient,1,3,2,Philadelphia,"English, Spanish",40.18769836,-75.00579834,-1
int_2,rise_100,R_2BbV37xWeMI0mYL,Default Response Set,Anonymous,,,97.95.53.113,0,6/6/15 3:37,6/6/15 3:41,1,76209792,1,1,1,1,1,"hang with friends, laundry",1,71,77,50,no,1,3,66,40,8,80,58,no others,1,6,2,"Oshkosh, WI, USA",English,43.7624054,-88.53829956,-1
int_2,rise_100,R_1Fy34zXjeHB00VC,Default Response Set,Anonymous,,,72.238.221.58,0,6/6/15 4:16,6/6/15 4:19,1,56472703,1,1,1,1,1,Going outside- laundry,1,29,33,62,no,1,3,62,41,21,79,48,no,1,6,1,"Longwood, Florida",English,28.73129272,-81.51580048,-1
int_2,rise_100,R_yyc1xM5GNbnUT3r,Default Response Set,Anonymous,,,72.238.221.58,0,6/6/15 4:19,6/6/15 4:21,1,55929145,1,1,1,1,1,Hanging out- laundry,1,25,32,77,no,1,3,71,50,34,80,38,,1,6,2,"Orlando, Florida",English,28.73129272,-81.51580048,-1
